Lng,Token,Value
ar-SA,banner_copy,احصل على علاوة تصل إلى 20% من أميال سكاي ووردز عندما تضاعف أميالك
ar-SA,post_copy,كلما ازداد عدد الأميال التي تضاعفها، ازدادت علاوتك
cs-CZ,banner_copy,Získejte až 20% mílí Skywards navíc při znásobení mílí
cs-CZ,post_copy,"Čím více mil znásobíte, tím větší bonus získáte"
da-DK,banner_copy,Få op til 20 % Skyward Miles i bonus via Multiply Miles
da-DK,post_copy,"Jo flere Multiply Miles, jo større bonus"
nl-NL,banner_copy,Ontvang tot 20% extra Skywards Miles wanneer u uw miles vermenigvuldigt
nl-NL,post_copy,"Hoe meer miles u vermenigvuldigt, hoe meer extra Skywards Miles u ontvangt"
en-GB,banner_copy,Get up to 20% bonus Skywards Miles when you Multiply your Miles
en-GB,post_copy,"The more Miles you Multiply, the bigger your bonus"
fr-FR,banner_copy,Obtenez jusqu'à 20 % de miles Skywards bonus avec Multiply Miles
fr-FR,post_copy,"Plus vous utilisez Multiply Miles, plus votre bonus est important."
de-DE,banner_copy,"Erhalten Sie bis zu 20 % Skywards-Meilen als Bonus, wenn Sie Ihre Meilen vervielfachen"
de-DE,post_copy,"Je mehr Meilen Sie vervielfachen, desto größer Ihr Bonus"
el-GR,banner_copy,Πολλαπλασιάστε τα Μίλια σας και κερδίστε έως και 20% επιπλέον Μίλια Skywards
el-GR,post_copy,"Όσα περισσότερα Μίλια πολλαπλασιάζετε, τόσο μεγαλύτερο είναι το μπόνους"
id-ID,banner_copy,Dapatkan bonus Skywards Miles hingga 20% saat Anda Menggandakan Miles
id-ID,post_copy,"Semakin Banyak Miles yang Anda Gandakan, semakin besar bonus Anda"
it-IT,banner_copy,Ottenete fino al 20% di bonus in Miglia Skywards quando moltiplicate le vostre Miglia
it-IT,post_copy,"Più Miglia moltiplicate, maggiore sarà il bonus"
ja-JP,banner_copy,マイルを増やしてスカイワーズマイルが最大20%アップ
ja-JP,post_copy,増やしたマイルが多いほど付与率がアップ
ko-KR,banner_copy,마일리지 구매 횟수 증가 시 Skywards 마일리지 최대 20% 추가 적립
ko-KR,post_copy,마일리지를 여러 번 구매할수록 더욱 커지는 보너스
nb-NO,banner_copy,Få opptil 20 % Skywards Miles i bonus når du multipliserer dine Miles
nb-NO,post_copy,"Jo flere Miles du multipliserer, desto større blir bonusen"
pl-PL,banner_copy,"Skorzystaj z opcji Multiply Miles i pomnóż swoje mile, aby zdobyć do 20% dodatkowych Mil Skywards"
pl-PL,post_copy,"Im więcej mil pomnożysz dzięki opcji Multiply Miles, tym większą uzyskasz premię"
pt-BR,banner_copy,Ganhe um bônus de até 20% ao comprar ou usar o Multiply Miles
pt-BR,post_copy,"Quanto mais milhas você comprar ou multiplicar, maior será o seu bônus"
pt-PT,banner_copy,Receba até 20% de bónus em Milhas Skywards cada vez que multiplicar as suas milhas
pt-PT,post_copy,"Quanto mais milhas multiplicar, maior será o seu bónus"
ru-RU,banner_copy,Умножьте свои мили Skywards и получите бонус в размере до 20 % от их количества
ru-RU,post_copy,"Чем больше миль вы умножите, тем больше будет ваш бонус"
zh-CN,banner_copy,里程翻倍可获得高达 20% 的 Skywards 奖励里程数
zh-CN,post_copy,里程翻倍越多，奖励越大
es-ES,banner_copy,Consiga hasta un 20 % de bonificación en millas Skywards cuando multiplique sus millas
es-ES,post_copy,"Cuantas más millas multiplique, mayor será la bonificación"
sv-SE,banner_copy,Få upp till 20 % fler Skywards Miles i bonus när du multiplicerar dina Miles
sv-SE,post_copy,"Ju fler Miles du multiplicerar, desto större bonus får du"
th-TH,banner_copy,รับโบนัสไมล์สะสม Skywards สูงสุดถึง 20% เมื่อคุณรับไมล์สะสมเพิ่มทวีคูณ
th-TH,post_copy,ยิ่งคุณรับไมล์สะสมเพิ่มทวีคูณมากเท่าใด ก็ยิ่งได้โบนัสมากเท่านั้น
zh-TW,banner_copy,當您讓哩程數倍增時，最多可獲得 20% 的紅利 Skywards 會員哩程數
zh-TW,post_copy,倍增的哩程數越多，獲得的紅利就越多
tr-TR,banner_copy,Millerinizi Katlayın ve %25'e varan oranda bonus Skywards Mili kazanın
tr-TR,post_copy,Ne kadar çok Mil Katlarsanız bonusunuz o kadar büyük olur
vi-VN,banner_copy,Thưởng tới 20% Dặm Skywards khi bạn nhân số dặm của bạn
vi-VN,post_copy,"Bạn càng nhân nhiều dặm, bạn càng được thưởng nhiều"
