Code,Name,Content
ar-SA,Arabic,احصل على علاوة تصل إلى 20% من أميال سكاي ووردز عندما تضاعف أميالك
cs-CZ,Czech,Získejte až 20% mílí Skywards navíc při znásobení mílí
da-DK,Danish,Få op til 20 % Skyward Miles i bonus via Multiply Miles
nl-NL,Dutch,Ontvang tot 20% extra Skywards Miles wanneer u uw miles vermenigvuldigt
en-GB,EN GB,Get up to 20% bonus Skywards Miles when you Multiply your Miles
en-US,EN US,Get up to 20% bonus Skywards Miles when you Multiply your Miles
fr-FR,French,Obtenez jusqu'à 20 % de miles Skywards bonus avec Multiply Miles
de-DE,German,"Erhalten Sie bis zu 20 % Skywards-Meilen als Bonus, wenn Sie Ihre Meilen vervielfachen"
el-GR,Greek,Πολλαπλασιάστε τα Μίλια σας και κερδίστε έως και 20% επιπλέον Μίλια Skywards
id-ID,Indonesian,Dapatkan bonus Skywards Miles hingga 20% saat Anda Menggandakan Miles
it-IT,Italian,Ottenete fino al 20% di bonus in Miglia Skywards quando moltiplicate le vostre Miglia
ja-JP,Japanese,マイルを増やしてスカイワーズマイルが最大20%アップ
ko-KR,Korean,마일리지 구매 횟수 증가 시 Skywards 마일리지 최대 20% 추가 적립
nb-NO,Norwegian,Få opptil 20 % Skywards Miles i bonus når du multipliserer dine Miles
pl-PL,Polish,"Skorzystaj z opcji Multiply Miles i pomnóż swoje mile, aby zdobyć do 20% dodatkowych Mil Skywards"
pt-BR,Portuguese (Brazilian),Ganhe um bônus de até 20% ao comprar ou usar o Multiply Miles
pt-PT,Portuguese (European),Receba até 20% de bónus em Milhas Skywards cada vez que multiplicar as suas milhas
ru-RU,Russian,Умножьте свои мили Skywards и получите бонус в размере до 20 % от их количества
zh-CN,Simplified Chinese,里程翻倍可获得高达 20% 的 Skywards 奖励里程数
es-ES,Spanish,Consiga hasta un 20 % de bonificación en millas Skywards cuando multiplique sus millas
sv-SE,Swedish,Få upp till 20 % fler Skywards Miles i bonus när du multiplicerar dina Miles
th-TH,Thai,รับโบนัสไมล์สะสม Skywards สูงสุดถึง 20% เมื่อคุณรับไมล์สะสมเพิ่มทวีคูณ
zh-TW,Traditional Chinese,當您讓哩程數倍增時，最多可獲得 20% 的紅利 Skywards 會員哩程數
tr-TR,Turkish,Millerinizi Katlayın ve %25'e varan oranda bonus Skywards Mili kazanın
vi-VN,Vietnamese,Thưởng tới 20% Dặm Skywards khi bạn nhân số dặm của bạn
