Lng,Token,Value
en-US,headline,Your bonus has landed
en-US,salutation,"Congratulations,"
en-US,headline pre-rate,You get up to a
en-US,intro-post-rate,bonus
en-US,second-line-pre-miles,now and maximize your
en-US,second-line-post-miles,miles
en-US,call-to-action,choose from our most popular purchases
en-US,follow-up,or select another amount below
es-ES,headline,Tu bono ha aterrizado
es-ES,salutation,"Felicidades,"
es-ES,headline pre-rate,Usted tiene una  bonificación de hasta
es-ES,intro-post-rate,bonificación
es-ES,second-line-pre-miles,ahora y maximiza tu
es-ES,second-line-post-miles,millas
es-ES,call-to-action,Elija de las compras más populares
es-ES,follow-up,O seleccione otra cantidad a continuación
pt-BR,headline,Seu bônus chegou
pt-BR,salutation,"Parabéns,"
pt-BR,headline pre-rate,Você tem até
pt-BR,intro-post-rate,de bônus
pt-BR,second-line-pre-miles,agora e maximize sua
pt-BR,second-line-post-miles,milhas
pt-BR,call-to-action,escolha uma de nossas compras mais populares
pt-BR,follow-up,Ou selecione outro valor abaixo
